User,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Output1,Output2,Feature10,Feature11
1782,0.04468085106382979,609.9858333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1783,0.024705882352941178,609.889,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1784,0.032984293193717276,16.52175,6.300000000000001,109.66666666666667,1.0,1.0,0.1516666666666667,0.0,0.0,1.0,0.0,1.0,0.0
1785,0.012,178.7858333333333,48.300000000000004,89.21739130434783,0.0,1.0,0.41825,1.8450833333333334,0.0,1.0,0.0,1.0,1.0
1786,0.04057971014492753,124.84616666666662,54.6,80.82368193604148,0.0,0.0,7.343,3.759,0.0,1.0,0.0,1.0,1.0
1787,0.0,609.28875,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1788,0.032984293193717276,609.2216666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1789,0.0,609.2135000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1790,0.032984293193717276,609.20825,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1791,0.07724137931034483,609.0583333333334,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1792,0.06136363636363636,608.9644166666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1793,0.11052631578947368,608.9609166666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1794,0.032984293193717276,608.39275,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1795,0.08076923076923077,608.2807500000001,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1796,0.10500000000000001,607.8619166666668,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1797,0.028767123287671233,607.719,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1798,0.024705882352941178,607.58075,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1799,0.04057971014492753,607.3526666666669,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1800,0.04405594405594406,607.3491666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1801,0.07724137931034483,607.1514166666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1802,0.07724137931034483,384.08241666666675,18.900000000000002,85.94007490636703,1.0,1.0,2.2195833333333335,0.0,0.0,1.0,0.0,1.0,0.0
1803,0.10500000000000001,13.353083333333334,2.1,63.0,0.0,1.0,0.24791666666666667,0.0,0.0,1.0,1.0,1.0,0.0
1804,0.06136363636363636,606.9221666666667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1805,0.014093959731543624,606.84225,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1806,0.012,606.8043333333334,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1807,0.028767123287671233,606.7909166666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1808,0.15272727272727274,606.7384166666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1809,0.07724137931034483,0.27475,4.2,84.0,1.0,0.0,0.11433333333333334,0.0,0.0,1.0,0.0,1.0,0.0
1810,0.04242424242424243,606.60775,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1811,0.034426229508196717,606.5704166666668,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1812,0.06136363636363636,606.4199166666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1813,0.04468085106382979,606.4140833333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1814,0.04405594405594406,606.3615833333336,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1815,0.0,606.2204166666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1816,0.175,606.1906666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1817,0.04242424242424243,606.1725833333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1818,0.00967741935483871,606.0465833333334,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1819,0.07724137931034483,0.81025,6.300000000000001,91.00000000000003,1.0,1.0,0.19133333333333338,0.0,0.0,1.0,0.0,1.0,0.0
1820,0.02441860465116279,605.78875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1821,0.0,605.6545833333333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1822,0.04468085106382979,605.5740833333335,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1823,0.04468085106382979,605.5029166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1824,0.04097560975609756,605.437,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1825,0.04057971014492753,605.40025,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1826,0.11052631578947368,605.3897499999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1827,0.08076923076923077,605.19725,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1828,0.07724137931034483,605.1785833333334,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1829,0.07724137931034483,605.1517500000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1830,0.0,605.13075,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1831,0.0,605.07125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1832,0.0,605.0339166666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1833,0.032984293193717276,604.8927500000001,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1834,0.0,604.56025,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1835,0.07724137931034483,604.4809166666669,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
